"","Type","Relative","Indiv"
"1","Even_Community","10.15847789","10"
"2","Even_Community","12.04247774","10"
"3","Even_Community","9.503948019","10"
"4","Tolerant_Dominance","3.322093567","5"
"5","Tolerant_Dominance","3.264187446","5"
"6","Tolerant_Dominance","6.708517973","5"
"7","Less Sensitive_Dominance","10.53176842","9"
"8","Less Sensitive_Dominance","10.46673879","9"
"9","Less Sensitive_Dominance","6.113788983","9"
"10","Sensitive_Dominance","12.33113392","20"
"11","Sensitive_Dominance","12.61661105","20"
"12","Sensitive_Dominance","13.5782367","20"
